SampleTrackerNo,Sampling_Date,Year,Month,Season,Operator,co2_treatment,Ring,Block,Collar_Unique_ID,Sampling_Date_tz,ch4_flux,co2_flux,n2o_flux,ch4_flux_stdev_no_outliers,ch4_flux_iqr_no_outliers,ch4_flux_norm,ch4_flux_quant,ch4_flux_robust,co2_flux_stdev_no_outliers,co2_flux_iqr_no_outliers,co2_flux_sqrt,co2_flux_quant,co2_flux_robust,n2o_flux_stdev_no_outliers,n2o_flux_iqr_no_outliers,n2o_flux_log10,n2o_flux_quant,n2o_flux_robust
4125.0,2013-02-10,2013,Oct,Spring,Pankaj,Elevated,1,1,1.0,2013-02-10 00:00:00+11:00,-17.305,48.739,-4.0680000000000005,-17.305,-17.305,-0.3335602331709741,0.11440370596208618,0.08984246979396537,48.739,48.739,8.976747740690945,-1.3652936478433229,-0.6314339973199387,-4.0680000000000005,-4.0680000000000005,1.4940153747571439,-1.5018258800397342,-0.8906185002736725
4126.0,2013-02-10,2013,Oct,Spring,Pankaj,Elevated,1,1,1.1,2013-02-10 00:00:00+11:00,-22.105999999999998,43.592,-1.4880000000000002,-22.105999999999998,-22.105999999999998,-0.45207093705640017,-0.1450407629137015,-0.11995018462277948,43.592,43.592,8.685332463412095,-1.538168928578288,-0.6737477289356211,-1.4880000000000002,-1.4880000000000002,1.5285310606354117,-1.066309705581331,-0.6081882868089764
4127.0,2013-02-10,2013,Oct,Spring,Pankaj,Elevated,1,1,1.2,2013-02-10 00:00:00+11:00,-25.4,45.049,1.518,-25.4,-25.4,-0.49092995344918616,-0.3096627430712193,-0.263890406170115,45.049,45.049,8.76880835689776,-1.4764692856308974,-0.6617696626904201,1.518,1.518,1.5655644907422532,-0.42663842683173814,-0.27912424740010944
4128.0,2013-02-10,2013,Oct,Spring,Pankaj,Elevated,1,1,1.4,2013-02-10 00:00:00+11:00,-23.214000000000002,57.578,2.986,-23.214000000000002,-23.214000000000002,-0.3734958864222184,-0.19741655578031572,-0.1683672354650528,57.578,57.578,9.456267762706384,-1.0928308319813993,-0.5587681582387228,2.986,2.986,1.5825633095213576,-0.17173472751041102,-0.11842364532019702
4129.0,2013-02-10,2013,Oct,Spring,Pankaj,Elevated,1,1,1.5,2013-02-10 00:00:00+11:00,-41.891000000000005,53.188,-2.458,-41.891000000000005,-41.891000000000005,-0.61833091617476,-1.1422846519109642,-0.9845091655924316,53.188,53.188,9.221225515082038,-1.2295559567663332,-0.5948585568773174,-2.458,-2.458,1.5158738437116792,-1.2918546218342584,-0.7143732895457032
4130.0,2013-02-10,2013,Oct,Spring,Pankaj,Elevated,1,1,1.6,2013-02-10 00:00:00+11:00,-30.664,44.051,-0.9711666666666668,-30.664,-30.664,-0.5712198859480788,-0.6000293037489879,-0.4939150953702287,44.051,44.051,8.711716248822617,-1.5241009260395308,-0.669974268121244,-0.9711666666666668,-0.9711666666666668,1.535127376355368,-0.9602129760758015,-0.5516110198868819
4131.0,2013-02-10,2013,Oct,Spring,Pankaj,Elevated,1,1,1.7,2013-02-10 00:00:00+11:00,-23.072,54.443999999999996,-2.3169999999999997,-23.072,-23.072,-0.38988579755326824,-0.1896712649452527,-0.1621621621621621,54.443999999999996,54.443999999999996,9.289079609950601,-1.2053223296196136,-0.5845329211848174,-2.3169999999999997,-2.3169999999999997,1.517736779044113,-1.2636802391572999,-0.6989381499726326
4132.0,2013-02-10,2013,Oct,Spring,Pankaj,Ambient,2,1,2.0,2013-02-10 00:00:00+11:00,-23.78,44.858000000000004,-2.716,-23.78,-23.78,-0.46770578100645993,-0.2231714500464174,-0.19310013327798292,44.858000000000004,44.858000000000004,8.757910709752641,-1.4940358268340936,-0.6633398827678624,-2.716,-2.716,1.5124442407419567,-1.3597709970140466,-0.7426163108921728
4133.0,2013-02-10,2013,Oct,Spring,Pankaj,Ambient,2,1,2.1,2013-02-10 00:00:00+11:00,-20.502,53.744,-1.661,-20.502,-20.502,-0.3562733149320573,-0.047409674462515705,-0.04985907491970539,53.744,53.744,9.251324229536008,-1.220587511743298,-0.5902876544529305,-1.661,-1.661,1.5263004993656295,-1.116656318195149,-0.6271264367816091
4134.0,2013-02-10,2013,Oct,Spring,Pankaj,Ambient,2,1,2.2,2013-02-10 00:00:00+11:00,-67.791,56.19,6.9910000000000005,-67.791,nan,-0.767492887316678,-2.351762601505265,-2.116279577880224,56.19,56.19,9.382590260690275,-1.1311806791915502,-0.5701789722046384,6.9910000000000005,6.9910000000000005,1.6258164340047274,0.4136305757641701,0.32
4135.0,2013-02-10,2013,Oct,Spring,Pankaj,Ambient,2,1,2.3,2013-02-10 00:00:00+11:00,-1.0759999999999998,58.753,7.882999999999999,-1.0759999999999998,-1.0759999999999998,-0.018148317036274397,1.3035594672621054,0.7990124319954554,58.753,58.753,9.518193105836843,-1.057715637464193,-0.5491084273958189,7.882999999999999,7.882999999999999,1.6348902077449323,0.5399968842079425,0.417646414887794
4136.0,2013-02-10,2013,Oct,Spring,Pankaj,Ambient,2,1,2.5,2013-02-10 00:00:00+11:00,-16.973,52.256,7.0329999999999995,-16.973,-16.973,-0.3064180019162554,0.14151350975347166,0.1043501059669209,52.256,52.256,9.170550692297601,-1.2631964664930568,-0.6025205731714336,7.0329999999999995,7.0329999999999995,1.6262479544622768,0.4251655548432723,0.32459770114942516
4137.0,2013-02-10,2013,Oct,Spring,Pankaj,Ambient,2,1,2.6,2013-02-10 00:00:00+11:00,-8.229,44.926,0.131,-8.229,-8.229,-0.18016966814495095,0.7540447218380929,0.48644278878717034,44.926,44.926,8.761792054140523,-1.4864275017975324,-0.6627808515361028,0.131,0.131,1.5488682907918565,-0.7069296776975802,-0.43095785440613016
4138.0,2013-02-10,2013,Oct,Spring,Pankaj,Ambient,2,1,2.7,2013-02-10 00:00:00+11:00,-24.074,85.01700000000001,2.93,-24.074,-24.074,-0.2723046598496407,-0.23625871016825606,-0.20594725687692544,85.01700000000001,85.01700000000001,10.810180387024076,-0.47662221695471774,-0.3331908351762181,2.93,2.93,1.5819269138928653,-0.18788498709628007,-0.12455391351943074
4139.0,2013-02-10,2013,Oct,Spring,Yui,Ambient,3,2,3.0,2013-02-10 00:00:00+11:00,-42.309,70.575,-0.076,-42.309,-42.309,-0.5141738073878086,-1.1845636271282873,-1.002774803906574,70.575,70.575,10.120177864049623,-0.7591063186455886,-0.4519192035449157,-0.076,-0.076,1.546320524270814,-0.7575559349072134,-0.45361795292829765
4140.0,2013-02-10,2013,Oct,Spring,Yui,Ambient,3,2,3.1,2013-02-10 00:00:00+11:00,-38.50449999999999,58.62266666666667,0.6978333333333332,-38.50449999999999,-38.50449999999999,-0.5489618372031344,-0.9855084164938854,-0.8365269068583535,58.62266666666667,58.62266666666667,9.51134410410362,-1.0711234008852628,-0.550179903923358,0.6978333333333332,0.6978333333333332,1.5557693586678158,-0.581999735029646,-0.3689071337347199
4141.0,2013-02-10,2013,Oct,Spring,Yui,Ambient,3,2,3.2,2013-02-10 00:00:00+11:00,-46.278999999999996,63.396,2.182,-46.278999999999996,-46.278999999999996,-0.5893831419320732,-1.453327098371435,-1.1762546701916141,63.396,63.396,9.759047084628705,-0.928298869415607,-0.5109381037331777,2.182,2.182,1.5733358400660677,-0.3107717137471509,-0.20643678160919537
4142.0,2013-02-10,2013,Oct,Spring,Yui,Ambient,3,2,3.4,2013-02-10 00:00:00+11:00,-40.455999999999996,35.48,-0.322,-40.455999999999996,-40.455999999999996,-0.7518167639089636,-1.0750723290266417,-0.9218029670737833,35.48,35.48,8.20505941477574,-1.8150453178637074,-0.7404368664655251,-0.322,-0.322,1.5432731789132836,-0.8246793677677293,-0.4805473453749315
4143.0,2013-02-10,2013,Oct,Spring,Yui,Ambient,3,2,3.5,2013-02-10 00:00:00+11:00,-32.301,48.743,-0.498,-32.301,-32.301,-0.5523772266866658,-0.674760062664173,-0.5654482291507352,48.743,48.743,8.976970535765393,-1.3652117236998562,-0.631401113129835,-0.498,-0.498,1.541079767776629,-0.8520327720729929,-0.4998139025725232
